,index,name_last,name_first,key_mlbam,key_retro,key_bbref,key_fangraphs,mlb_played_first,mlb_played_last,name2search
243,243,buchholz,clay,453329,buchc001,buchhcl01,3543,2007.0,2019.0,claybuchholz
244,244,buchter,ryan,488748,buchr001,buchtry01,9456,2014.0,2019.0,ryanbuchter
245,245,buehler,walker,621111,buehw001,buehlwa01,19374,2017.0,2019.0,walkerbuehler
246,246,bumgarner,madison,518516,bumgm001,bumgama01,5524,2009.0,2019.0,madisonbumgarner
247,247,bummer,aaron,607481,bumma001,bummeaa01,16258,2017.0,2019.0,aaronbummer
248,248,bundy,dylan,605164,bundd001,bundydy01,12917,2012.0,2019.0,dylanbundy
249,249,burdi,nick,595897,burdn001,burdini01,16074,2018.0,2019.0,nickburdi
250,250,burke,brock,656271,burkb001,burkebr01,17968,2019.0,2019.0,brockburke
251,251,burnes,corbin,669203,burnc002,burneco01,19361,2018.0,2019.0,corbinburnes
252,252,burns,billy,542993,burnb002,burnsbi02,12701,2014.0,2017.0,billyburns
253,253,burr,ryan,621114,burrr002,burrry01,17536,2018.0,2019.0,ryanburr
254,254,busenitz,alan,641427,busea001,busenal01,15239,2017.0,2018.0,alanbusenitz
255,255,bush,matt,456713,bushm001,bushma01,1246,2016.0,2018.0,mattbush
256,256,butera,drew,460077,buted001,buterdr01,3411,2010.0,2019.0,drewbutera
257,257,butler,dan,576788,butld001,butleda01,9968,2014.0,2018.0,danbutler
258,258,butler,eddie,572750,butle001,butleed01,13453,2014.0,2018.0,eddiebutler
259,259,buttrey,ty,621142,buttt001,buttrty01,14719,2018.0,2019.0,tybuttrey
260,260,buxton,byron,621439,buxtb001,buxtoby01,14161,2015.0,2019.0,byronbuxton
261,261,cabrera,asdrubal,452678,cabra002,cabreas01,4962,2007.0,2019.0,asdrubalcabrera
262,262,cabrera,genesis,650893,cabrg001,cabrege01,17490,2019.0,2019.0,genesiscabrera
263,263,cabrera,melky,466320,cabrm002,cabreme01,4022,2005.0,2019.0,melkycabrera
264,264,cabrera,miguel,408234,cabrm001,cabremi01,1744,2003.0,2019.0,miguelcabrera
265,265,cahill,trevor,502239,cahit001,cahiltr01,6249,2009.0,2019.0,trevorcahill
266,266,cain,lorenzo,456715,cainl001,cainlo01,9077,2010.0,2019.0,lorenzocain
267,267,cain,matt,430912,cainm001,cainma01,4732,2005.0,2017.0,mattcain
268,268,calhoun,kole,594777,calhk001,calhoko01,11200,2012.0,2019.0,kolecalhoun
269,269,calhoun,willie,641432,calhw001,calhowi01,17838,2017.0,2019.0,williecalhoun
270,270,calixte,orlando,593525,calio001,calixor01,11905,2015.0,2017.0,orlandocalixte
271,271,callahan,jamie,621094,callj001,callaja01,14711,2017.0,2017.0,jamiecallahan
272,272,camargo,johan,622666,camaj001,camarjo01,14950,2017.0,2019.0,johancamargo
273,273,campos,leonel,599998,campl001,campole01,12277,2014.0,2017.0,leonelcampos
274,274,candelario,jeimer,600869,candj002,candeje01,13621,2016.0,2019.0,jeimercandelario
275,275,canha,mark,592192,canhm001,canhama01,11445,2015.0,2019.0,markcanha
276,276,canning,griffin,656288,canng001,cannigr01,19867,2019.0,2019.0,griffincanning
277,277,cano,robinson,429664,canor001,canoro01,3269,2005.0,2019.0,robinsoncano
278,278,capps,carter,605169,cappc001,cappsca01,12803,2012.0,2017.0,cartercapps
279,279,carasiti,matt,571539,caram001,carasma01,13276,2016.0,2019.0,mattcarasiti
280,280,caratini,victor,605170,carav001,caratvi01,14968,2017.0,2019.0,victorcaratini
281,281,cardullo,stephen,506924,cards001,cardust01,11204,2016.0,2017.0,stephencardullo
282,282,carle,shane,641438,carls002,carlesh01,15258,2017.0,2019.0,shanecarle
283,283,carpenter,david,502304,carpd001,carpeda01,3959,2011.0,2019.0,davidcarpenter
284,284,carpenter,matt,572761,carpm002,carpema01,8090,2011.0,2019.0,mattcarpenter
285,285,carpenter,ryan,543001,carpr001,carpery01,12699,2018.0,2019.0,ryancarpenter
286,286,carrasco,carlos,471911,carrc003,carraca01,6632,2009.0,2019.0,carloscarrasco
287,287,carrera,ezequiel,485567,carre001,carreez01,9048,2011.0,2017.0,ezequielcarrera
288,288,carroll,cody,606944,carrc004,carroco01,17664,2018.0,2018.0,codycarroll
289,289,carter,chris,474892,cartc002,cartech02,9911,2010.0,2017.0,chriscarter
290,290,casali,curt,592200,casac001,casalcu01,12510,2014.0,2019.0,curtcasali
291,291,cashner,andrew,488768,casha001,cashnan01,8782,2010.0,2019.0,andrewcashner
292,292,casilla,santiago,433586,garcj002,garcija01,2873,2004.0,2018.0,santiagocasilla
293,293,castellanos,nick,592206,castn001,casteni01,11737,2013.0,2019.0,nickcastellanos
294,294,castillo,diego,650895,castd002,castidi01,17496,2018.0,2019.0,diegocastillo
295,295,castillo,fabio,503566,castf003,castifa01,2826,2017.0,2017.0,fabiocastillo
296,296,castillo,jose,620454,castj007,castijo03,17169,2018.0,2019.0,josecastillo
297,297,castillo,luis,622491,castl003,castilu02,15689,2017.0,2019.0,luiscastillo
298,298,castillo,welington,456078,castw002,castiwe01,3256,2010.0,2019.0,welingtoncastillo
299,299,castillo,wilkin,446868,castw001,castiwi01,5124,2008.0,2019.0,wilkincastillo
300,300,castro,daniel,593495,castd001,castrda01,15450,2015.0,2018.0,danielcastro
301,301,castro,harold,605612,casth001,castrha01,14691,2018.0,2019.0,haroldcastro
302,302,castro,jason,488771,castj006,castrja01,8722,2010.0,2019.0,jasoncastro
303,303,castro,miguel,612434,castm002,castrmi01,15684,2015.0,2019.0,miguelcastro
304,304,castro,simon,501563,casts002,castrsi01,9243,2013.0,2017.0,simoncastro
305,305,castro,starlin,516770,casts001,castrst01,4579,2010.0,2019.0,starlincastro
306,306,castro,willi,650489,castw003,castrwi01,17338,2019.0,2019.0,willicastro
